Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2021,06/26,Kuskokwim River Sonar,Sockeye,10559,10559,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/27,Kuskokwim River Sonar,Sockeye,11581,11581,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/28,Kuskokwim River Sonar,Sockeye,15908,15908,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/29,Kuskokwim River Sonar,Sockeye,23561,23561,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/30,Kuskokwim River Sonar,Sockeye,36415,36415,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/01,Kuskokwim River Sonar,Sockeye,32671,32671,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/02,Kuskokwim River Sonar,Sockeye,22821,22821,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/03,Kuskokwim River Sonar,Sockeye,32673,32673,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/04,Kuskokwim River Sonar,Sockeye,56482,56482,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/05,Kuskokwim River Sonar,Sockeye,56124,56124,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/06,Kuskokwim River Sonar,Sockeye,39890,39890,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/07,Kuskokwim River Sonar,Sockeye,42628,42628,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/08,Kuskokwim River Sonar,Sockeye,43024,43024,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/09,Kuskokwim River Sonar,Sockeye,21250,21250,Calculated,Sonar
Kuskokwim River Sonar,,,2021,07/10,Kuskokwim River Sonar,Sockeye,21785,21785,Calculated,Sonar
